league,opp,opp2,result,conf,ROI,date,outcome
primeira-liga,Guimaraes,Portimonense,1X,Low conf,-26,23.10.17,win
primera-division,Villarreal,Las Palmas,>2.5,Med conf,+62,22.10.17,win
primera-division,Celta,Ath Madrid,>2.5,Med conf,+62,22.10.17,lose
primera-division,Leganes,Ath Bilbao,1X,Low conf,-31,22.10.17,win
primera-division,Real Madrid,Eibar,1,Med conf,-51,22.10.17,win
primeira-liga,Tondela,Belenenses,>1.5,High conf,+25,22.10.17,win
primeira-liga,Aves,Benfica,X2,High conf,+26,22.10.17,win
ligue-1,Nice,Strasbourg,>2.5,Med conf,+64,22.10.17,win
ligue-1,Troyes,Lyon,1X,Low conf,+72,22.10.17,lose
ligue-1,Marseille,Paris SG,2,Med conf,-1,22.10.17,win
championship,Ipswich,Norwich,X2,Med conf,+29,22.10.17,win
bundesliga,FC Koln,Werder Bremen,X2,Low conf,-30,22.10.17,win
bundesliga,Freiburg,Hertha,1X,Med conf,+46,22.10.17,win
bundesliga,Wolfsburg,Hoffenheim,2,Med conf,+133,22.10.17,win
serie-a,Chievo,Verona,1X,High conf,+28,22.10.17,win
serie-a,Milan,Genoa,1,High conf,+36,22.10.17,lose
serie-a,Atalanta,Bologna,X2,Med conf,+136,22.10.17,lose
serie-a,Benevento,Fiorentina,<2.5,Med conf,+41,22.10.17,lose
serie-a,Spal,Sassuolo,<2.5,Med conf,+41,22.10.17,win
serie-a,Torino,Roma,1,High conf,+250,22.10.17,lose
serie-a,Udinese,Juventus,12,High conf,+38,22.10.17,win
serie-a,Lazio,Cagliari,1,High conf,+16,22.10.17,win
premier-league,Everton,Arsenal,1X,High conf,+95,22.10.17,lose
premier-league,Tottenham,Liverpool,2,Med conf,+38,22.10.17,lose
primera-division,Sociedad,Espanol,X2,Med conf,+91,23.10.17,win
primera-division,La Coruna,Girona,12,High conf,+60,23.10.17,win
primeira-liga,Moreirense,Sp Braga,X2,High conf,+54,23.10.17,win
primeira-liga,Guimaraes,Portimonense,1X,Low conf,-26,23.10.17,win
primera-division,Levante,Getafe,12,High conf,+68,21.10.17,lose
primera-division,Betis,Alaves,>2.5,Med conf,+62,21.10.17,lose
primera-division,Valencia,Sevilla,X2,Med conf,+95,21.10.17,lose
primera-division,Barcelona,Malaga,1,Med conf,-54,21.10.17,win
primeira-liga,Setubal,Maritimo,>1.5,High conf,+25,21.10.17,win
primeira-liga,Porto,Pacos Ferreira,1,Med conf,-26,21.10.17,win
ligue-1,Monaco,Caen,1X,Low conf,-94,21.10.17,win
